,tula,tver
515930,16.0,4.0
505930,12.0,9.0
50592F,9.0,2.0
515934,9.0,9.0
515938,8.0,8.0
4F5938,8.0,8.0
505933,8.0,4.0
505939,7.0,7.0
505938,7.0,11.0
4F5A35,6.0,1.0
505936,6.0,2.0
51592F,6.0,1.0
4C647F,6.0,1.0
505934,6.0,10.0
515933,5.0,4.0
505A34,5.0,2.0
4F5B33,5.0,6.0
4F5B36,4.0,3.0
4F5C2C,4.0,2.0
515837,4.0,5.0
4D593C,4.0,3.0
515936,4.0,5.0
525834,4.0,
4F5B2C,3.0,3.0
515833,3.0,
515935,3.0,
50582B,3.0,
505B38,3.0,
4E5C34,3.0,1.0
4F5B27,3.0,1.0
515732,3.0,
4B6680,3.0,1.0
4F5937,3.0,3.0
50592C,3.0,5.0
4F5B34,3.0,7.0
515931,3.0,1.0
51592E,3.0,1.0
505A35,3.0,2.0
51592C,3.0,2.0
515836,3.0,1.0
515939,3.0,1.0
505937,3.0,6.0
51583C,3.0,1.0
696446,2.0,
505B34,2.0,
5B4F36,2.0,
81694A,2.0,
51582F,2.0,1.0
4F5B30,2.0,
707741,2.0,
644334,2.0,
505927,2.0,1.0
505935,2.0,2.0
4F5C2B,2.0,1.0
4E5C36,2.0,2.0
486383,2.0,
80684B,2.0,
303424,2.0,
353823,2.0,
886C43,2.0,
50583B,2.0,1.0
51593B,2.0,
866C45,2.0,
7B6750,2.0,
4F5B32,2.0,4.0
4E5B37,2.0,
826749,2.0,
515932,2.0,1.0
595034,2.0,
7F754C,2.0,
51583E,2.0,1.0
4F5928,2.0,
505C2C,2.0,1.0
696641,2.0,1.0
556676,2.0,
4F5930,2.0,3.0
4F677C,2.0,
707141,2.0,
4E5B34,2.0,4.0
4E5C30,2.0,2.0
4F592E,2.0,4.0
4F5A2E,2.0,2.0
71693E,2.0,
50592E,2.0,9.0
4E5C33,2.0,4.0
4E637D,2.0,
323424,2.0,1.0
575142,2.0,
505932,2.0,2.0
4E5933,2.0,2.0
4B6480,2.0,1.0
50593C,2.0,2.0
7B6250,2.0,
836A48,2.0,
4F5933,2.0,1.0
51583B,2.0,3.0
4F593C,2.0,1.0
515838,2.0,1.0
4C657F,2.0,2.0
4E5C2C,2.0,2.0
505B36,2.0,2.0
4F5B2F,2.0,
343C24,2.0,1.0
7D6A4E,2.0,
4F5934,2.0,2.0
4E5B38,2.0,1.0
50593A,2.0,2.0
4D5C33,2.0,1.0
5B5036,1.0,
443E2C,1.0,
343C26,1.0,
515735,1.0,
5D4634,1.0,
614639,1.0,
5C5130,1.0,
446487,1.0,
5E4F3E,1.0,
716E41,1.0,
51582E,1.0,1.0
6C4C3B,1.0,
373823,1.0,
604C34,1.0,
90563B,1.0,
646F49,1.0,
505C31,1.0,
616149,1.0,1.0
613435,1.0,
456186,1.0,
4B6E3C,1.0,
636538,1.0,
505B2C,1.0,3.0
866E45,1.0,
4E5834,1.0,
515840,1.0,
6A6446,1.0,
80634B,1.0,
66483A,1.0,
6F3232,1.0,
6A703B,1.0,
4E5E7D,1.0,
6B302F,1.0,
4D5C3B,1.0,
393426,1.0,
4D592E,1.0,
4E5939,1.0,1.0
636146,1.0,
5A5134,1.0,1.0
213B61,1.0,
634B38,1.0,
435B3C,1.0,
5E4438,1.0,
757A51,1.0,
7E684D,1.0,
5E483C,1.0,
7D5D4E,1.0,
5F4B41,1.0,
7E674D,1.0,
2C406C,1.0,
75493E,1.0,
51592B,1.0,1.0
4E687D,1.0,
446583,1.0,
604C3B,1.0,
594D33,1.0,
69673E,1.0,
6D6D3F,1.0,
696E41,1.0,
7B5F50,1.0,
614B3E,1.0,
4F583B,1.0,1.0
6D6537,1.0,
713F34,1.0,
498171,1.0,
644C3B,1.0,
6A6345,1.0,
4E5E36,1.0,1.0
674D38,1.0,
716F3A,1.0,
614940,1.0,
5B453A,1.0,
5B4F34,1.0,
4F5F38,1.0,
784636,1.0,
825F49,1.0,
5F4939,1.0,
626A48,1.0,
856B47,1.0,
71373F,1.0,
776A54,1.0,
383D1C,1.0,
4D5D32,1.0,2.0
4F5929,1.0,
826249,1.0,
4B5D33,1.0,
6B6741,1.0,
987333,1.0,
74743F,1.0,1.0
4A5C38,1.0,
6B2832,1.0,
6D6F41,1.0,
525837,1.0,
6C6E44,1.0,
4D5B3B,1.0,2.0
594F30,1.0,
736B3F,1.0,
4C667F,1.0,1.0
373E23,1.0,
535735,1.0,
2C3C5B,1.0,
383B1F,1.0,
343723,1.0,
945937,1.0,
526679,1.0,1.0
636E43,1.0,
4E5F7D,1.0,
836D48,1.0,
716E49,1.0,
4E5D2C,1.0,
5E6345,1.0,
465C63,1.0,
28385E,1.0,
333727,1.0,
614B3C,1.0,
383D22,1.0,1.0
8A6C41,1.0,
485F83,1.0,1.0
5A6471,1.0,
737638,1.0,
3F3B27,1.0,
634C3E,1.0,
5F4139,1.0,
4B5B38,1.0,
696E3E,1.0,
4F5B3F,1.0,1.0
5B4E38,1.0,1.0
776954,1.0,
4E5C27,1.0,
646941,1.0,
7B6150,1.0,
24435E,1.0,
7F664C,1.0,
486083,1.0,
594E34,1.0,
4F5927,1.0,
4E592C,1.0,
6A6A44,1.0,
373E1E,1.0,
5D614B,1.0,
3C4E6B,1.0,
696C46,1.0,
414128,1.0,
7D684E,1.0,
373F1F,1.0,
6F3740,1.0,
6B6441,1.0,
343928,1.0,
4F5B3D,1.0,
6D4335,1.0,
595146,1.0,
34371C,1.0,
496066,1.0,
354029,1.0,
5D4C30,1.0,
604C30,1.0,
594636,1.0,
855A46,1.0,
323A25,1.0,
646947,1.0,
515830,1.0,3.0
5D4A34,1.0,
5D4C3B,1.0,
505929,1.0,3.0
6B6844,1.0,
446A87,1.0,
6E6347,1.0,
515734,1.0,
6A6846,1.0,
505B35,1.0,1.0
343C20,1.0,
3C4124,1.0,
1C75AF,1.0,
6B6841,1.0,
6A7754,1.0,
4D627E,1.0,
647148,1.0,
363B20,1.0,
495C3F,1.0,
