,tula,tver
sky,999.0,972.0
outdoor,986.0,962.0
text,955.0,975.0
road,851.0,883.0
tree,839.0,751.0
cloud,677.0,665.0
way,648.0,720.0
highway,604.0,648.0
scene,457.0,531.0
vehicle,367.0,363.0
house,346.0,226.0
land vehicle,327.0,340.0
grass,266.0,278.0
car,265.0,244.0
traveling,235.0,206.0
plant,193.0,137.0
street,175.0,158.0
nature,161.0,127.0
bicycle,128.0,181.0
wheel,99.0,91.0
building,92.0,97.0
day,75.0,111.0
railroad,71.0,48.0
dirt,68.0,49.0
roadway,41.0,51.0
landscape,38.0,44.0
track,35.0,21.0
residential,33.0,27.0
lined,32.0,20.0
mountain,31.0,23.0
sign,28.0,29.0
city,26.0,38.0
surrounded,22.0,33.0
outdoor object,21.0,12.0
screenshot,20.0,31.0
ground,20.0,21.0
abandoned,18.0,16.0
travel,18.0,13.0
long,17.0,9.0
autumn,17.0,12.0
water,16.0,17.0
clouds,15.0,23.0
shore,13.0,18.0
cloudy,13.0,12.0
coming,12.0,14.0
highland,11.0,7.0
auto part,11.0,8.0
several,11.0,11.0
hillside,10.0,1.0
indoor,10.0,
furniture,10.0,
tire,10.0,9.0
painting,9.0,8.0
window,9.0,15.0
skyscraper,9.0,13.0
lush,9.0,3.0
interior,9.0,
apartment building,9.0,16.0
lake,9.0,12.0
train,9.0,4.0
ceiling,8.0,
old,8.0,1.0
spring,8.0,6.0
snow,7.0,17.0
night sky,7.0,5.0
thoroughfare,7.0,17.0
architecture,7.0,10.0
park,7.0,9.0
red,7.0,
curb,7.0,8.0
bus,6.0,4.0
path,6.0,10.0
power line,6.0,3.0
truck,6.0,11.0
hotel,6.0,
desk,6.0,
cabinetry,5.0,
empty,5.0,18.0
forest,5.0,11.0
narrow,5.0,5.0
table,5.0,
van,5.0,4.0
design,5.0,
coffee table,4.0,
billboard,4.0,3.0
driving,4.0,2.0
floor,4.0,
lane,4.0,9.0
downtown,3.0,
accommodation,3.0,
wood,3.0,
chair,3.0,
shelf,3.0,
restaurant,3.0,
wooded,3.0,6.0
tower,3.0,
trailer,3.0,4.0
beach,3.0,10.0
waste container,2.0,1.0
steel,2.0,
moving,2.0,3.0
grassy,2.0,1.0
door,2.0,
military vehicle,2.0,4.0
parked,2.0,4.0
modern,2.0,
transport,2.0,7.0
computer,2.0,
aircraft,2.0,
engine,2.0,4.0
stairs,2.0,
office building,2.0,
wall,2.0,
asphalt,2.0,2.0
kitchen & dining room table,2.0,
smoke,2.0,1.0
skiing,2.0,
room,2.0,
home,2.0,
hill,2.0,
rail,2.0,
green,2.0,2.0
cafe,2.0,
pulling,2.0,
field,2.0,
flower,2.0,
steam,2.0,1.0
garden,1.0,
street light,1.0,5.0
person,1.0,
countertop,1.0,
stone,1.0,1.0
ruin,1.0,
town,1.0,7.0
lighthouse,1.0,
trick,1.0,
sink,1.0,
dining,1.0,
stainless,1.0,
renovation,1.0,
remodel,1.0,
bridge,1.0,1.0
freeway,1.0,
airport,1.0,
stopped,1.0,
vase,1.0,
pylon,1.0,1.0
fall,1.0,
mall,1.0,
wooden,1.0,
decay,1.0,
ski,1.0,
panorama,1.0,2.0
demolition,1.0,
countryside,1.0,
line,1.0,1.0
dune,1.0,
barn,1.0,
bed,1.0,
skating,1.0,1.0
boat,1.0,
store,1.0,
trail,1.0,2.0
appliance,1.0,
trash,1.0,
road surface,1.0,2.0
construction,1.0,1.0
luxury,1.0,
government building,1.0,1.0
fireplace,1.0,
silver,1.0,
mirror,1.0,
land,1.0,1.0
winter,,12.0
country,,8.0
night,,8.0
sprinkler system,,4.0
light,,3.0
fog,,3.0
aerial,,3.0
turn,,2.0
playground,,2.0
summer,,2.0
sand,,2.0
decker,,2.0
sandy,,2.0
lorry,,2.0
ship,,2.0
drawing,,1.0
sunset,,1.0
colonnade,,1.0
traffic sign,,1.0
runway,,1.0
umbrella,,1.0
tarmac,,1.0
plain,,1.0
rain,,1.0
palm tree,,1.0
stadium,,1.0
desert,,1.0
freight transport,,1.0
farm,,1.0
area,,1.0
distance,,1.0
church,,1.0
infrastructure,,1.0
bicycle wheel,,1.0
